candidate_id,paper_id,figure_id,page,status,reason,page_area_ratio,width_px,height_px,asset_sha256,caption_id,caption_adjacent,native_asset_retained,vector_evidence_count
RW2-001:fig-p004-001:rejected,RW2-001,fig-p004-001,4,rejected,insufficient_deterministic_region_boundary,,,,,p0003-caption-001,,True,4
RW2-001:fig-p008-001:rejected,RW2-001,fig-p008-001,8,rejected,caption_missing_or_unmatched,,,,,,,True,3
RW2-001:fig-p012-001:rejected,RW2-001,fig-p012-001,12,rejected,insufficient_deterministic_region_boundary,,,,,p0011-caption-001,,True,3
RW2-001:fig-p014-001:rejected,RW2-001,fig-p014-001,14,rejected,insufficient_deterministic_region_boundary,,,,,p0013-caption-001,,True,3
RW2-001:fig-p015-001:rejected,RW2-001,fig-p015-001,15,rejected,caption_missing_or_unmatched,,,,,,,True,6
RW2-001:fig-p019-001:rejected,RW2-001,fig-p019-001,19,rejected,insufficient_deterministic_region_boundary,,,,,p0018-caption-001,,True,3
RW2-001:fig-p021-001:rejected,RW2-001,fig-p021-001,21,rejected,caption_missing_or_unmatched,,,,,,,True,3
RW2-001:page-017:global-rejection-001,RW2-001,,17,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,23
RW2-002:fig-p004-001:rejected,RW2-002,fig-p004-001,4,rejected,insufficient_deterministic_region_boundary,,,,,p0003-caption-001,,True,0
RW2-002:fig-p005-001:rejected,RW2-002,fig-p005-001,5,rejected,insufficient_deterministic_region_boundary,,,,,p0004-caption-001,,True,0
RW2-002:fig-p018-001:rejected,RW2-002,fig-p018-001,18,rejected,caption_ambiguous,,,,,,,True,0
RW2-002:fig-p019-001:rejected,RW2-002,fig-p019-001,19,rejected,insufficient_deterministic_region_boundary,,,,,p0018-caption-001,,True,0
RW2-002:fig-p020-001:rejected,RW2-002,fig-p020-001,20,rejected,insufficient_deterministic_region_boundary,,,,,p0019-caption-001,,True,0
RW2-002:fig-p021-001:rejected,RW2-002,fig-p021-001,21,rejected,insufficient_deterministic_region_boundary,,,,,p0020-caption-001,,True,0
RW2-002:page-013:global-rejection-001,RW2-002,,13,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,5
RW2-003:fig-p002-001:rejected,RW2-003,fig-p002-001,2,rejected,insufficient_deterministic_region_boundary,,,,,p0001-caption-004,,True,0
RW2-003:fig-p003-001:rejected,RW2-003,fig-p003-001,3,rejected,insufficient_deterministic_region_boundary,,,,,p0002-caption-001,,True,0
RW2-003:fig-p004-001:rejected,RW2-003,fig-p004-001,4,rejected,insufficient_deterministic_region_boundary,,,,,p0003-caption-001,,True,0
RW2-003:fig-p004-002:rejected,RW2-003,fig-p004-002,4,rejected,caption_ambiguous,,,,,,,True,0
RW2-003:fig-p005-001:rejected,RW2-003,fig-p005-001,5,rejected,insufficient_deterministic_region_boundary,,,,,p0004-caption-001,,True,0
RW2-003:fig-p006-001:rejected,RW2-003,fig-p006-001,6,rejected,caption_ambiguous,,,,,,,True,0
RW2-003:fig-p007-001:rejected,RW2-003,fig-p007-001,7,rejected,insufficient_deterministic_region_boundary,,,,,p0006-caption-001,,True,0
RW2-003:fig-p008-001:rejected,RW2-003,fig-p008-001,8,rejected,insufficient_deterministic_region_boundary,,,,,p0007-caption-002,,True,0
RW2-003:fig-p008-002:rejected,RW2-003,fig-p008-002,8,rejected,insufficient_deterministic_region_boundary,,,,,p0007-caption-003,,True,0
RW2-004:fig-p003-001:rejected,RW2-004,fig-p003-001,3,rejected,insufficient_deterministic_region_boundary,,,,,p0002-caption-001,,True,0
RW2-005:fig-p003-001:rendered,RW2-005,fig-p003-001,3,rendered,native_bitmap_asset_is_incomplete_for_mixed_bitmap_vector_figure,0.484544291334577,1064,882,3e239449a19512b82fc4199bf6f8229f536f09b54deaa1acaa5c98b004639abf,p0002-caption-001,True,True,9
RW2-005:fig-p003-002:rejected,RW2-005,fig-p003-002,3,rejected,caption_missing_or_unmatched,,,,,,,True,1
RW2-005:fig-p003-003:rejected,RW2-005,fig-p003-003,3,rejected,caption_missing_or_unmatched,,,,,,,True,1
RW2-005:page-004:global-rejection-001,RW2-005,,4,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,6
RW2-005:page-005:global-rejection-002,RW2-005,,5,rejected,cross_page_figure_continuation_explicitly_detected,,,,,,,,1
RW2-005:page-006:global-rejection-003,RW2-005,,6,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,7
RW2-005:page-007:global-rejection-004,RW2-005,,7,rejected,cross_page_figure_continuation_explicitly_detected,,,,,,,,1
RW2-005:page-008:global-rejection-005,RW2-005,,8,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,7
RW2-005:page-015:global-rejection-006,RW2-005,,15,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,6
RW2-006:fig-p010-001:rejected,RW2-006,fig-p010-001,10,rejected,insufficient_deterministic_region_boundary,,,,,p0009-caption-001,,True,1
RW2-006:fig-p012-001:rejected,RW2-006,fig-p012-001,12,rejected,insufficient_deterministic_region_boundary,,,,,p0011-caption-001,,True,1
RW2-006:page-002:global-rejection-001,RW2-006,,2,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,8
RW2-006:page-003:global-rejection-002,RW2-006,,3,rejected,cross_page_figure_continuation_explicitly_detected,,,,,,,,1
RW2-006:page-004:global-rejection-003,RW2-006,,4,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,7
RW2-006:page-006:global-rejection-004,RW2-006,,6,rejected,cross_page_figure_continuation_explicitly_detected,,,,,,,,1
RW2-006:page-007:global-rejection-005,RW2-006,,7,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,7
RW2-006:page-008:global-rejection-006,RW2-006,,8,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,6
RW2-006:page-009:global-rejection-007,RW2-006,,9,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,6
RW2-006:page-011:global-rejection-008,RW2-006,,11,rejected,pure_vector_without_native_figure_group_not_auto_rendered,,,,,,,,6
RW2-007:fig-p003-001:rejected,RW2-007,fig-p003-001,3,rejected,insufficient_deterministic_region_boundary,,,,,p0002-caption-001,,True,0
RW2-007:fig-p005-001:rendered,RW2-007,fig-p005-001,5,rendered,native_bitmap_asset_is_incomplete_for_mixed_bitmap_vector_figure,0.5012033231924585,855,1090,e23fd761347557227666093f4ce78d0821d9a5a9cae4f3039d94ca0c80a8729a,p0004-caption-001,True,True,9553
RW2-007:fig-p006-001:rejected,RW2-007,fig-p006-001,6,rejected,candidate_does_not_cover_caption_horizontal_span,,,,,p0005-caption-001,,True,4153
